userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
1,1,1,1,18,0,38,17
1,1,1,18,29,0,38,11
1,1,2,29,35,0,38,6
1,1,2,35,41,0,38,6
1,1,2,41,51,0,38,10
1,1,2,51,54,0,38,3
1,1,2,54,74,0,38,20
1,1,3,74,92,0,38,18
1,1,3,92,109,0,38,17
1,1,3,109,121,0,38,12
1,1,3,121,128,0,38,7
1,1,3,128,137,0,38,9
1,1,4,137,146,0,38,9
1,1,3,146,166,0,38,20
1,1,3,166,175,0,38,9
1,1,3,175,186,0,38,11
1,1,3,186,205,0,38,19
1,1,3,205,222,0,38,17
1,1,5,222,227,0,38,5
1,1,5,227,243,0,38,16
1,1,5,243,249,0,38,6
1,1,5,249,260,0,38,11
1,1,5,260,276,0,38,16
1,1,5,276,278,0,38,2
1,1,5,278,298,0,38,20
1,1,5,298,315,0,38,17
1,1,5,315,317,0,38,2
1,1,6,317,321,0,38,4
1,1,6,321,339,0,38,18
1,1,6,339,340,0,38,1
1,1,6,340,345,0,38,5
1,1,6,345,349,0,38,4
1,1,7,349,361,0,38,12
1,1,7,361,370,0,38,9
1,1,7,370,389,0,38,19
1,1,7,389,403,0,38,14
1,1,7,403,408,0,38,5
1,11,24,408,422,0,118,14
1,11,24,422,435,0,118,13
1,11,24,435,436,0,118,1
1,11,7,436,439,0,118,3
1,11,7,439,450,0,118,11
1,11,7,450,456,0,118,6
1,11,7,456,460,0,118,4
1,11,7,460,475,0,118,15
1,11,27,475,494,0,118,19
1,11,27,494,498,0,118,4
1,11,27,498,509,0,118,11
1,11,27,509,526,0,118,17
1,11,27,526,532,0,118,6
1,11,27,532,552,0,118,20
1,11,27,552,563,0,118,11
1,11,27,563,565,0,118,2
1,11,27,565,566,0,118,1
1,11,27,566,576,0,118,10
1,11,27,576,585,0,118,9
1,11,28,585,604,0,118,19
1,11,28,604,624,0,118,20
1,11,28,624,634,0,118,10
1,11,25,634,645,0,118,11
1,11,26,645,664,0,118,19
1,11,25,664,683,0,118,19
1,11,25,683,694,0,118,11
1,11,25,694,695,0,118,1
1,11,25,695,705,0,118,10
1,11,25,705,719,0,118,14
1,11,25,719,721,0,118,2
1,11,25,721,729,0,118,8
1,11,25,729,741,0,118,12
1,11,25,741,757,0,118,16
1,11,25,757,766,0,118,9
1,11,25,766,770,0,118,4
1,11,25,770,772,0,118,2
1,11,25,772,782,0,118,10
1,11,25,782,790,0,118,8
1,11,25,790,809,0,118,19
1,11,25,809,829,0,118,20
1,11,25,829,832,0,118,3
1,11,25,832,845,0,118,13
1,11,25,845,857,0,118,12
1,11,25,857,865,0,118,8
1,11,25,865,879,0,118,14
1,11,25,879,891,0,118,12
1,11,25,891,901,0,118,10
1,11,25,901,921,0,118,20
1,11,25,921,936,0,118,15
1,11,25,936,949,0,118,13
1,11,25,949,963,0,118,14
1,11,25,963,974,0,118,11
1,11,25,974,994,0,118,20
1,11,25,994,1012,0,118,18
